,Text
677,"đồng ý như vậy , còn nếu ba mẹ lập di chúc để hết cho 1 bên thì cũng chịu ."
678,tôi thích cách đối xử với lgbt ở nhật
679,"cũng không căng thẳng lắm đâu mọi người ơi ' ,"
680,tôi là lgbt luôn rồi ^
681,tui nhìn ra tđbo á
682,đàn ông mà thích nấu ăn thì chắc là bê đê
683,đồng tính thì không nên có quyền nhận con nuôi
684,gay thì không thể hiểu được tình yêu nam nữ
685,là con gái mà còn tứk với mấy kiểu đấy : )
686,lgbt là 1 l : lamborgini 2g gà rắn 3b bufon 4t thomas muiler
687,dừa lắm . chào 2 bác 藍
688,"ai cũng có nhược điểm , có ai hoàn hảo đâu mà ."
689,dễ thương 
690,"mục đích của chúng nó là làm cho mọi người chửi để nó được tiền đấy ' ,"
691,bạn vô liên hiệp quốc làm là ok
692,mong trong tương lai cộng đồng lgbt sẽ được chào đón nhiều hơn殺
693,mấy con đàn bà thì ở nhà nội trợ là được
694,sao nó lại đúng đến thế
695,"nói là thương đều cả con trai với con gái chứ thật ra , con trai thích ăn gì thì nhớ kỹ lắm , con gái không ăn được mà nhà nấu toàn món đó , em đi chiên trứng ăn lun chứ ăn gì được"
696,"thế sao trên lớp tôi lại bị 1 con nào đó leo lên cổ ngồi thế ; - ; ' ,"
697,"còn nữa . muốn người khác không coi mình là món đồ , đồ chơi thì đừng có làm giá quá : )"
698,thôi kệ đi
699,nhưng bạn lam là ai hay là bạn nam
700,"xinh đẹp tuyệt vời ! ' ,"
701,sao nhìn chị càng ngắm càng thấy giống ngô cẩn ngôn
702,baby cho xin link mua mi đi梁
703,"xong mai mốt con trai ổng cưới chồng , ta nói nó vui gần chết"
704,thế tui đàn ông à ?  nên vui hay buồn đây
705,tưởng ông trong blacked 
706,đàn ông mà làm việc nhà thì mất mặt
707,sao câu chuyện của anh này giống em thế . mình cũng mong gia đình hiểu mình và chấp nhận mình 梁
708,cố lên tôi ủng hộ bạn️‍️‍️‍️‍️‍️‍️‍️‍️‍️‍️‍️‍️‍
709,ủa hình như mình nhớ gil lê là nữ mà
710,"chả ai muốn áp lực cả mà chính xã hội này tạo áp lực cho đàn ông , một người đàn ông không có công việc ổn định , không có tiền thì các bạn có ở bên"
711,con gái yêu mà - thấy con trai có thì có nếp có tẻ tuyệt vời hơn ! 
712,bả sang qua từng ngày = ) đúng là alpha male càng dìm thì người đàn bà chính đáng càng nổi không 10đ perfect
713,coi bình luận thấy nhiều người cổ hủ quá .
714,ủa lgbt thì cg là con người mà tại sao lại kì thì chứ
715,"chúc cô bình an , bọn nó đông lắm"
716,homosexuality nghĩa là gì ạ
717,"vì người bắc sợ mai này không có ai thờ cúng họ thôi . còn kiểu cháu đích tôn thờ cả họ . trong nam thoáng hơn , chết là hết ."
718,lương mình bình quân 25-27 tr . thu nhập bên ngoài 4-5 tr nữa . vợ đang nuôi con chưa đi làm được . tháng nào hết tháng đấy . chưa mua được nhà 梁
719,"tình yêu không có đúng hay sai , chỉ có phù hợp hay không thôi 殺"
720,mong cho tất cả các cô gái luôn cảm thấy hạnh phúc trong tình yêu của chính mình 
721,kéo đồng minh tới thì tao báo công an 藍
722,nhật thật sáng suốt 
723,chị iu bảo trọng= )
724,lá cờ lgbt thiếu một màu hạnh phúc
725,tại sao các bạn được sống theo cách các bạn muốn còn thanh duy thì không ? 嵐 chắc gì người ta hết tiền . lỡ người ta muốn hát trên live làm content thôi thì sao ?
726,hoá ra là lão gia bạc tỷ
727,trường hợp này y như ông anh mình quen .
728,"hàn quốc nha , mình còn nhớ việc nước dịch tùm lum trong khi đó chính phủ nói gì về lgbtq + ấy : )"
729,con người là thích ok
730,thích con người nhé .
731,đức phu nhân thấy sao ạ
732,"cái lúc tui come out ba mẹ tui tỉnh bơ , mẹ tui còn bồi thêm câu "" con có sao thì con cũng là con cũng ba mẹ "" , nghe xong câu đó tôi khóc quá trời"
733,sao thấy rêm rêm nhức nhức cái đầu
734,trả tiền là việc của đàn ông mà ? - ny mình bảo thế
735,"cô 2 báo coi vui phết chứ có gì đâu = ) cậu ba thì nói cũng không bảo gì chứ cô 2 báo có làm cái gì đâu ta ' ,"
736,"các bạn coi đó là tính nam độc hại nhưng chúng tôi coi đó là tự trọng . tự trọng chúng tôi rất cao , không thay đổi được đâu "
737,nói chuyện mắc cười  hi vọng ny hay chồng tương lai tui hk trọng nam khinh nữ 梁
738,tôi nhớ vì đó là sinh nhật tao
739,xem sớm nè anh 
740,2023 rồi mà đọc bình luận vẫn shock thật sự
741,́ ᴆᴀ̀ᴏ đọc bình luận đi vợ 
742,nè mắ勞 chin dữ
743,"tội anh quá . em may mắn được cô phó hiệu trưởng trường nhận làm con nuôi , mẹ đứng ra bảo vệ , lo lắng , nói thay tiếng nói của em , lập ra cộng động"
744,lại chơi chiêu ak
745,tôi ở không.nhưg chưa bjo chồng giám coi thường tôi.đàn ông hơn nhau ở chỗ đấy.tôi đẻ con.nuôi con.chăm sóc.mở mồm ra tôi chửi ngay.bà đây còn chưa lấy lương cơ đấy
746,"đàn ông phải mạnh mẽ , không được yếu đuối"
747,"đừng kì thị người đồng tính không phải người đồng tính nào cũng thích bạn : } ' ,"
748,“ cái tổn thương lớn nhất lại không đến từ những người ngoài kia mà là người trong nhà ” nghe mà thấm☺️
749,ngắn gọn dễ hiểu
750,cho em hoi vậy chu sinh con song co doi cach sung ho không vậy
751,. me 16 hồi đó cô quyên kiu gt3 là bệnh
752,"ôi nhìn lại 2 năm rồi nhanh quá . nhớ mãi nala ' ,"
753,còn không vậy hóng
754,thấy mấy ông bảo đòi nữ quyền sao không thấy người con gái đòi đi lính rồi chiến tranh sao không thấy con gái đòi đi nhm mấy ổng đâu chú ý tới hậu phương nuôi trồng để có cơm ăn cho họ lúc họ ra chiến trg : )
755,"đến cái thk hồi năm ngoái hay đi ăn với em , chs cx thân lắm thì lại bị nó kì thị , nhưng giờ 2 đứa nc bth rồi nhưng nói không được nhìu"
756,thằng chồng lm mới xinh không lm sao xinh
757,"tại afghanistan , brunei , iran , qatar , ả rập xê út , các tiểu vương quốc ả rập thống nhất và yemen , tất cả các hoạt động đồng giới đều bị trừng phạt ."
758,cái bình luận như thời phong kiến ý
759,"càng ngày giọng càng dịu dàng , cuốn ghê "
760,chỗ khúc bác sĩ khó thiệt .
761,bạn mặc áo xanh xinh thế
762,tính ra bả xinh cực luôn í nét mặt không có nét nào giống con trai luôn í
763,tui thuộc cộng đồng người lgbt nhưng không dám nói cho ba mẹ nghe vì sợ bị nói là không ra gì 梁
764,"là 1 cô gái bình thường nhưng lại thương cho số phận của những người thuộc thế giới thứ ba họ không làm gì sai cả và họ càng không thể lựa chọn cho mình 1 giới tính lúc sinh ra . đối với họ thứ họ cần là sự thấu hiểu và đồng cảm từ người thân và sự thấu hi … xem thêm ' ,"
765,"tao căm thù đàn bà , con gái việt hiện nay"
766,flower walk
767,hậu trường nó lạ lém
768,thân xác này chỉ là vay mượn . nên cứ làm những việc mình thích là được
769,thầy bẻ thẳng hay bẻ ông thầy 路‍♂️
770,"hài thật chứ ' ,"
771,giống tui gia đinh tui cũng thương con trai dù nó hư nhưng vẫn khen
772,bạn này đẹp thu hút ghê 殺
773,hốc nhiều rượu vào xong rồi : lúc đấy anh say quá không làm chủ được mình anh xin lỗi em
774,nhà toy mãi keo 蘭 một tình yêu thật đẹp殺
775,"ngạc nhiên các thứ ' ,"
776,"ba mẹ tui nghĩ lgbt là 1 loại bệnh , có thể lây , tui sẽ cho ba mẹ xem bài viết này , mặc dù tui không bê đê , nhưng tui luôn yêu quý và sẽ luôn ủng hộ cộng đồng lgbt ' ,"
777,tôi đồng ý nha
778,☺️xinh mà ai đâu bình luận kì thôi đừng quan tâm điều đó nhé
779,chi quá thích gia đình nhỏ huy quốc ❤️
780,mình cũng rất đồng cảm ☺️mình cũng là lgbt nữa cho nên mình cũng hiểu ☺️
781,gay tởm
782,là trường báo .
783,vua sửa ls đẹp lun được 
784,lẩu gà bến tre mà
785,"lịch sự duyên dáng , 10 đ"
786,con gái mà không biết nấu ăn hả
787,tôi đồng ý chủ tịch hồ chí minh đã từng nói : độc lập - tự do hạnh phúc
788,"con bà nó đồng tính nghe lời bà cưới vợ để con vợ không có tình cảm , giờ mỗi thứ đo lên đầu vợ tiếng oan khi biết sự thật thì nhà bà có thấy nhục không ' ,"
789,tuyệt vời quá ạ . chúc mừng hai anh ^
790,trường báo hay trường “ báo ”
791,năm sau 24 toàn bầu con trai 15ng thì hết 14ng bầu ctrai . 18 năm nữa cho thấy
792,"không phải chơi bia đia là muốn chơi thì chơi , muốn bỏ thì bỏ"
793,rất nhiều cô gái bây giờ không đòi bình đẳng giới mà họ đòi thượng đẳng giới cơ 
794,"đây bà bác tui : uả giờ , sao da mày trắng quá dị , giống bê đê sài gòn rồi cười hớ hớ làm tui quạu á . ' ,"
795,đài loan and israel cũng kì thị á
796,tội anh bắc quá mày
797,ủng hộ mc
798,chao làm anh bất ngờ quá chao ạ 藍
799,họ nhà tôi lại thk con gái .
800,"tôi thích con người , chỉ cần là con người mà có cảm giác là okie"
801,em không biết sao chứ em vẫn muốn có con ruột .   .
802,"cái bài viết như cái lông loz , đổ tội hết cho người đồng tính nam . như c vậy , thế người ta bị ép phải lấy nữ nối dõi tông đường thì sao ? hay thay vì "" đồng thê "" là người phụ nữ chết thì đáng thương hơn hả ? có biết bao vụ người đồng tính cũng bị áp lực và định kiến x … xem thêm ' ,"
803,chị này nhiêu tuổi vậy mấy bạn
804,cũng ao ước được như vậy
805,mình cũng định comeout với ny là mình có bồ mà không đủ can đảm
806,mặt nào cũng sửa mớ tiền
807,lao động nam vào các anh động cái là đòi đấm với chặn quản lý thì chả vậy
808,coi ful ở đâu vậy ạ
809,"đồng tính không phải bệnh nhưng hành động của thằng chồng không chấp nhanj đk ' ,"
810,"em thấy đúng mà , khóc là bản năng giải toả cảm xúc của con người , ai bảo đàn ông khóc là yếu đuối đâu . xây dựng hạnh phúc gia đình là trách nhiệm của"
811,làm con trai khổ thật . quá nhiều chuyện phải lo quá áp lực
812,"chỉ tuyển nữ đấy là công việc nhẹ nhàng , những công việc vất vả họ đâu giám tuyển mỗi nữ đâu"
813,để ah giúp em 1 chân nhá
814,ấu trỉ mà cũng làm clip
815,"cũng khó hiểu thật , giới tính nào thì mặc kệ , miễn sao người chuyển giới họ sống tốt , làm việc hiệu quả , vui vẻ thì ok  cớ chi lại kỳ thị , thất không hĩu những bạn có ý nghĩ cực đoan sao sao 路‍♂️路‍♂️"
816,tiêm hoắc môn nữ vào chỉ làm thay đổi nội tiết tố và cơ thể chứ không làm thay đổi đến tâm tính và trái tim của người ta  có bữa mẹ em cx nhắc đến cái này 
817,ngọc phú  xinh nha
818,"miền nam cx nên hiểu cho người lớn chứ , sinh một đứa con đã cực khổ rồi , nuôi nó trong thời kì kinh tế khó khăn còn vất vả hơn nữa , chỉ mong con mình hơn"
819,tôi chẳng mong ai chúc mừng tôi cả . vì 20 năm rồi tôi vẫn luôn nhớ ngày phụ nữ nhưng tôi còn chưa chúc mẹ được 1 lần nào cả . yêu mẹ nhiều
820,"lgbt mãi keo , không kì thị"
821,giờ có điều kiện họ muốn sinh 3-4 thì tuỳ
822,ranh
823,tôi là lgbt nè ️‍️‍️‍
824,"diễn viễn diễn hay quá mới ngày nào gần đây còn nói yêu thương rồi li dị lẹ như mây mất hình tượng faptv không còn tin tưởng . ove ' ,"
825,vào kênh mày tổng hợp đám cưới phạm thoại
826,tôi tên mẫn bây ưi
827,tại vì bả kh thích vậy thôi
828,đẹp trai lắm luôn kiểu cute
829,"nếu xã hội không cổ hủ hay là mấy cái luật tự cho mình là đúng xuất hiện thì họ đâu đến cái mức mà phải sống không đúng là chính mình . họ cũng đáng thương chứ , họ sợ bị kì thị , bị những con người ngòi kia soi mói . họ cũng có phần sai khi làm liên luỵ đến những n … xem thêm ' ,"
830,con gái mà thích học lập trình thì chắc là tomboy
831,bóng giả trai không
832,lgbt mãi mãi đỉnh ✨
833,bản thân mình cx đang có bầu nhưng vẫn đi làm đủ ăn mà còn thấy khó chịu khi mình lm không bằng chồng
834,"kiểu lão hoá nhanh chứ không phải lão hoá ngược ý , da cứ trùng trùng"
835,linh anh trong lô tô hương nam đk miền nam殺
836,"tôi sẽ chấp nhận nếu mấy con hủ ảo otp , hủ cốt không tồn tại ."
837,"tôi đã là "" lão gia bạc tỷ """
838,nữa ổng có con giống vậy rồi biết cảm giác dứ người ta
839,"ảnh nói về trọng nữ khinh nam ' ,"
840,pl chi ba mẹ mình cx được như vậy
841,không cần tui là pansexual
842,thoi hông sao đâu 蘭
843,cho em xin vía gia đình chấp nhận và cho em quen 1bn chung cộng lgbt ạ殺
844,còn con bài thanh xuân nữa
845,"đúng nhé cả nhà ,"
846,đẹp quá chj ưi ❤
847,thật ra không phải tự đeo gông vào cổ.mà chính những định kiến xã hội đã tạo áp lực cho người đàn ông.kể cả phụ nữ cũng góp phần không nhỏ.những định
848,kiểu kb sao nhưng mà hiểu mình là cái qtrong nhất để qđinh có nên bc vào 1 mqh hay không luôn ấy
849,không phải họ không hiểu tại do họ không muốn hiểu . !
850,@ 變 bả 19t á tr kh tin lun sao mún có sớm vậy
851,người ta không phải ghét bisexsual mà người ta sợ yêu bisexsual sẽ bị bỏ rơi 
852,"nói mẹ đi cứ ấp anh ấp ún con mẹ tụi mày ' ,"
853,"yêu tomboy có thể không đi đến cưới nhưng tomboy cực kì hiểu , chiều và qtam ny , tán là đổ không lệch phát nào"
854,toàn nghe cha mẹ kêu sợ mất mặt gia đình dòng họ hàng xóm là nhiều chứ ít nghe sợ con mình bị thiệt thòi ngoài xã hội
855,chính ra ai lấy bạn này rất an nhàn đi làm cả ngày cơm ăn 3 bữa không chơi bời tụ tập gì
856,thk nổi tiếng và cái kết dư luận chửi thấy moẹ
857,tôi thấy diêm dúa
858,2 đứa này quái dị giống nhau
859,một đá là xong
860,có công nhận glbt mà
861,đó là quyền của cô ấy nhưng nếu cô ấy xúc phạm thì cô ấy sai
862,tui yêu lgbt lắm lắm luôn ️‍️‍️‍️‍
863,mình chỉ muốn nói là nếu các bạn là bisexual thì làm ơn quen 1 nam hoặc 1 nữ thôi . đừng quen cả hai cùng lúc ☺️
864,thuốc gì vô dụng thế : )
865,"con nào mà chả là con . trai hay gái cũng là máu mủ , chất lg hơn số lg . cứ nuôi con khôn lớn , khoẻ mạnh , biết làm ăn là được rồi"
866,con trai chỉ là thứ họ chơi khi con trẻ ai lại chọn từ bỏ 1 gia đình êm ấm với những đứa trẻ khi vè già chứ
867,"cái nết phải làm sao để dù có cơ bắp + menly cũng không một ai mê chứ , nhất là thằng chế ra cái meme này đã tự chứng minh nó ế bằng thực lực . ' ,"
868,chị chia sẻ kinh nghiệm làm người mẫu ảnh với ạ
869,10đ
870,thời này chuyện gì cũng có thể
871,uổn vải anh em ạ
872,đồ gì đâu không
873,"đàn ông sinh ra với bản năng là bảo vệ , che chở cho người khác , đừng phủ nhận sự có mặt của họ còn không cần thì đừng có , có mà nói “ không cần ” thì dở"
874,"tưởng nqdh là lợi dụng bdg để tối ưu hoá lợi ích , tối thiểu hoá nghĩa vụ như mấy anh giai hay nói chứ sao lại không cần đ / ô , phủ nhận vai trò của đ / ô được"
875,ok em hiểu rồi
876,tính đâu chị nói thầy em không đó
877,gay tưởng mình là hay lắm hay sao còn đi khoe cả thế giới biết .
878,sao thiên vị thế nhờ來
879,em xin vía gd chấp nhận ạ em là lgbt☺️️‍
880,không dám nói mẹ biết mình làm hủ 3 năm lun á : (
881,"sao lại độc hại nhỉ , theo ý thứ 2 thì buộc phải kết hôn sinh con à ? thế người đồng tính hay chuyển giới thì cần gì ?"
882,bạn kia đâu rồi
883,ôi em là nữ tuy không phải thế nhưng.thúi cả mặt
884,anh qa kiàa xinh vậy
885,tôi luôn ủng hộ lgbt
886,cho mình hỏi mấy bạn lgbt sau này sinh con và duy trì nòi giống kiểu gì và nếu kéo dài nhiều năm không có cá thể mới sinh ra thì sao ?
887,sao cái bình luận này toàn straight không vậy : ) ?
888,"chỉ đàn ông mới mang lại hạnh phúc cho nhau thôi đko = ) ' ,"
889,không có nữ quyền gì đây hết thời này bình đẳng giới thôi
890,mấy thằng ẻo lã
891,qua tui mua gấu 2hand xinh
892,kệ họ đi ai muốn nói gì thì nói mình đừng để ý là được bạn
893,"nói đến cuối vẫn không thấy đoạn nào đàn ông được ưu tiên , chỉ khi anh ta là người tàn tật , nói phân biệt lại giẫy lên cho xem "
894,sao không sang thái nhờ
895,fen phải không anh long
896,em út gái của em thích con gái.nhưng nó vẫn thích làm đẹp.mới 18t thôi.nhờ chị tư vấn giúp
897,câu thứ 2 là tui hay bị hỏi nhứt í
898,"đàn ông phải là chỗ dựa vào , không phải cái gì cx theo ý mình như đắc nhân tâm được , con trai là phải làm chỗ dựa cho phụ nữ , phải thành công"
899,quá đúng
900,"sao lại coi phụ nữ như thứ để che đậy bản tính , sao lại không dám sống thật với bản thân ? ' ,"
901,hay lắm chị '
902,"thế lỡ thích cả trai với gái cùng lúc thì sao ạ , ghen cũng đâu có được nhỉ"
903,"không ưa wanbo nhưng lần này tôi đứng ở phe wanbo nha ' ,"
904,chị này làm y tá mà nói chuyện hay dữ dậy nghe rất cuốn luôn á
905,bản thân em là con gái . có anh trai . nhưng chỉ mình em lo cho bố mẹ thôi 梁
906,tôi ghét bê đê
907,tui cũng sinh thêm bé thứ ba nhưng không phải vì muốn có con trai mà chỉ vì thêm con cho vui
908,ai tán người đó trả . có gì lạ ?
909,"đặngt nhưý tao với mày đi siêu thị mỏi mòn cả đôi chân mà sao không ai hốt ' ,"
910,bất công từ trong gia đinh .
911,ủa vậy sao nhật có nhiều truyện về lgbt thế mà kì thị lgbt không hiểu luôn ý 
912,tại sao kì thị tui
913,""" đúng , nhưng chỉ một phần "" đây là cách mà nhagiakimfc truyền tải . anh nói vậy thì tất nhiên là trái ngược ý nhau rồi ."
914,là bột tôm lấy vợ hả miền nam 﫠
915,"đúng là trong hình , video nó khác với ben ngoài thực quá"
916,"lí do xong tính bị đẩy ra 1 bên , cứ như họ đang trêu đều tình cảm của người cùng giới zậy"
917,nhiều đứa ủng hộ lgbt rồi bảo người kì thị lgbt là tư duy lệch lạc : ) ?
918,"vốn ba mẹ đâu ai muốn con mình như vậy , nhưng mà nếu cứ thuận theo bố mẹ thì người khổ là vợ / chồng và chính bản thân họ mà comeout thì họ sẽ được hphuc là chính họ"
919,đéo ai tự hào ngoài mấy thằng gay
920,"wỏ ái nị ' ,"
921,xinh wa trời.không nghĩ là con trai luôn á
922,"nhưng đồng tính là bệnh ? thời đại 4.0 vẫn coi đồng tính là bệnh ? hài hước dễ sợ ' ,"
923,em nói thẳng em thích con trai lẫn con gái ai cũng ok không cấm không chưởi em anh ơi
924,"thật ra thì chúng tôi không tự tạo áp lực lên mình đâu . mà là xã hội , mà là thực tế , mà là nhu cầu tài chính từ người con gái của chúng tôi梁"
925,"môi trường sống văn minh tạo ra những người văn minh , cô ấy không kỳ thị lgbtq + là một lẽ thường thôi còn phải hỏi nữa ."
926,mẹ mjnh không kì thị : )
927,"à - tôi mong xã hội bình đẳng để mấy tên thanh niên dù làm bất kỳ việc làm gì cũng có vợ hết ' ,"
928,cố lên bạn phải tự tin vì là chính mình殺
929,ai cũng nói tội cô gái vậy còn bắc thì sao ảnh cũng biết đau mà 梁
930,số phận rồi em cố lên
931,người ta bot bẻ thẳng là trong vô vọng 
932,nói quá chuẩn luôn .
933,"em thì không sao nhg e sợ xã hội , gia đình sẽ làm tổn thương chị e sợ sẽ không thể nào nhìn thấy nụ cười đấy nữa"
934,"nin nin nhiều lúc xem mấy bình luận trong mấy clip về lgbt có mấy thành phần hl cứ nói công khai xu hướngười tính dục là bấtôi hiếu phải lấy vợ . cmn chứ thử chị , em gái nó hay con gái nó lấy phải đứanh là lgbt mà vì mấy thành phầ … xem thêm ' ,"
935,loại chồng xông phần biệt thế bo xóm cho đỡ khổ '
936,chương trình này tên gì quên rồi ta ?
937,giống em ☺️
938,"vợ đề đơn , lý do là đàn ông không tốt vậy thui"
939,sợ nha
940,beê đê mà cũng học đòi
941,tui đồng ý️‍
942,con sinh ra mà nói chắc chắn hơn
943,"đông dương ông anh dữ dội thặc ' ,"
944,me to ! đừng buồn nx☺️☺️
945,"haiz , người lớn chả hiểu gì cả "
946,"tuyệt vời quá , chúc bạn luôn vững tin và mạnh mẽ nhé "
947,lạc loài
948,nội câu đàn ông mặc váy thì chính người nói câu đó dù nam hay nữ đều là tự vả rồi
949,tuỳ người và vấn đề
950,tớ muốn chuyển giới thành con trai để yêu con trai thì gọi là gì vậy ạ= )
951,"nói như thế này bây giờ , phần đông các bạn nữ sẽ được yêu chiều hơn và muốn làm phái yếu , thì tự động đàn ông sẽ nghĩ mình phải có trách nhiệm nên ra vậy"
952,ụa s giống chuyện anh trần kiệt trên facebok nhở
953,"em coi ct này em khóc hết nước mắt á , giờ lướt gặp vẫn thích coi , và vẫn nghẹn  thương lắm luôn "
954,vậy em là bi thì phải nói sao ạ
955,. ahn   động lực báo của bé phanh nè iu
956,"làm clip pov nhảy nhót bla bla ít view quá giờ qua kiếm fame , haiz"
957,đ chịu được mấy đứa bê đê
958,lí do nam chết sớm hơn nữ be like
959,tiêu chuẩn của tôi là biết nấu ăn
960,duyên tke nhỏ 梁
961,tự tin lên ạ
962,chồng áp lực lắm đúng không
963,"hiện tại cũng có 1 số gia đình đàn ông ở nhà nội trợ còn phụ nữ thì đi làm , nói chung là tuỳ hoàn cảnh gia đình ."
964,"thi thố chế ảnh lấy thẻ ở đây nhé ' ,"
965,mẫn nhi xinh vãi
966,"tại sao lgbt lại bị kì thị ạ ? tớ không hiểu , họ lm gì sai hay cái gì ạ ? ai có thể giải thích không , mà lgbt là gì anh"
967,chúc mừng nè !
968,tui còn đưa ảnh gái cho ny tui xem cùng nữa là
969,nhiều lúc thấy các bạn nam làm còn chăm chỉ hơn
970,mũi cao quá ykr
971,vì sao có nhiều người cay nghiệt với tình yêu của chao ? 
972,lgbt nè= )
973,"có thêm động lực rồi , tôi đồng ý"
974,đtn là sao  ủa mày là dân tộc gì hả lâm kc
975,thương các bạn quá
976,cố lên mạnh mẽ lên bạn .
977,xem tiktok của ông chồng ám ảnh lắm 
978,"vật giá leo thag , lươg ì ạch , tiền mất giá trị thì nam nữ ai cũg mag áp lực như nhau thôi"
979,tao đang ở thời đại phong kiến chứ hình như không phải ở 2023 rồi
980,có đấy ạ mẹ em mới sinh em ra cứ tưởng em là con trai mà em thì là con gái nên bà ấy lã bỏ mặc em không lo từ 12 tháng tuổi rồi chị ạ giờ em chỉ có bà nội
981,sợ thật : ) lại mấy anh zai nhai “ tôn trọng chứ không phải tôn thờ ”
982,"ngộ vậy , tui phản bác ý kiến này , tôi là bi tôi thích con trai cả con gái , ( hiện giờ tôi đang quen một bạn nữ , bạn ấy cũng biết tui là bạn )"
983,em đi làm người tuyển dụng không trả lương anh ơi
984,cơ sở kinh tế quyết định thượng tầng kiến trúc nha . muốn có tiếng nói trong gia đình thì bạn phải giàu có và thành công nha dù bạn là nam hay nữ cũng
985,"bình đẳng là cả 2 giới đều có quyền lợi và lợi ích như nhau , chứ không phải nam nữ đều phải làm việc giống nhau , mỗi giới đều có đặc điểm cơ thể ."
986,tôi đồng ý . vì tui là trong cộng đồng lgbt 殺
987,trương trình gì vậy ạ
988,"ủa pt có tài chứ , fashionista mà ' ,"
989,vô đọc bình luận mà tôi tưởng đâu giờ đang quay lại thập niên 90 á tr
990,coi tức không
991,ba mẹ của mình đã không chấp nhận mình thích con gái cũng bắt buộc là mình phải yêu con trai nhưng . mình không thể bỏ cô ấy .   ey.ln   ea .  
992,ik tìm ac ông thầy liền 
993,kh phải muốn chơi thì chơi muốn bỏ thì bỏ đâu nghe
994,biết là thế nhưng mà bame iem gắt lắm nên rén
995,bản chất là không có gì gọi là bình đẳng cả . đến công lý cũng chỉ là diễn viên hài thì bình đẳng chắc cũng là 1 cái gì đó thui 廊
996,tôi chưa bao giờ kì thị 1 ai cả❤
997,giờ tuổi trẻ vui chơi thì quen vầy thoi khi có tuổi tí thì suy nghĩ sẽ khác
998,vì một vài người phụ nữ bị mặc định vào đầu là con trai khóc là yếu đuối nên dần dần họ cx mặc định cái tự tưởng không được khóc đấy .
999,mặc dù là chiện kinh dị nhưng mà nhìn con gấu mắc cừi không sợ được : )
1000,"độc hại hay tích cực còn tuỳ trường hợp ! thử nghĩ sau khi ly hôn , còn có 1 đứa con nhưng may mắn có công việc ổn định để lo cho con và làm được mọi việc"
1001,lgbt là cái gì 樂 ?
1002,sao để móng tay dài thế
1003,nhức đầu nhỉ
1004,dễ thương xỉu 殺
1005,dạo này trên mạng có đám genji tôn thờ bê đê lắm đi cào phím với mấy thằng kì thị chúng nó thay vì làm cái gì đó để người ta cảm thông và công nhận đúng là bọn óc chó
1006,kĩ năng tốt
1007,nghe đoạn cuối tội cho cô gái quá 梁
1008,"còn mấy cha trong bình luận còn nói cái kiểu "" miệng thì đòi nữ quyền còn lúc kêu làm mấy cviec nặng thì quy chụp cho nam "" trong khi bạn đấy không hiểu việc ."
1009,"mặn mẽ ' ,"
1010,"nó vốn dĩ đâu phải căn bệnh đó là lẽ đương nhiên thôi . thiết nghĩ miền nam ở quê cần có cái nhìn khách quan hơn về vấn đề này . người ta sinh ra có quyền sống đúng với những gì mình muốn . ' ,"
1011,"kakakaka giong ai do vãi ' ,"
1012,ngô cường làm gái partime 
1013,mình thương các bạn như này thật sự . các bạn ý bị thiệt thòi nhiều quá
1014,người mà có thể ngồi kể lại những câu chuyện như thế này đủ hiểu khoảng tg đó họ đã chịu đựng như thế nào 
1015,đẻ s nhỉ
1016,ổng can đảm thiệt
1017,tôi lướt hết 837 cái bình luận chỉ để tìm straight 殺
1018,tuyển nử để tối còn tâm sự ( tuyển dụng phát xin được phát biểu )
1019,đẻ nhiều cũng nói đẻ ít cũng nói
1020,chị ơi đúng quá
1021,"đang lướt bình luận zui tới mấy cái lấy chồng đi là ứa . vô duyên vl tưởng hài hước dữ lắm . ' ,"
1022,"kính gửi trường lê hồng phong nọ - một trường chuyên của tphcm ' ,"
1023,thoát tìm kiếm đê
1024,cho em xin vía gia đình 2 bên chấp nhận em và bạn ấy có thể đi đến cuối đời殺
1025,"bọn này toàn du học sinh làm màu cho bọn khỉ để bọn khỉ dễ dàng kiếm đô từ tư bản chứ luật đéo nào ở xứ khỉ cho mày kết hôn đồng giới , gái đẻ ra thì ít nam thì nhiều bọn khỉ còn bắt phải lập gia đình sớm đẻ con thì làm đéo nào ủng hộ ba cái l này"
1026,ơ tui nhớ mà
1027,không biết mấy mẹ trẻ vừa học song đi lấy đâu tiền nhiều đi ăn chơi thế
1028,nói y chang thầy cn của lớp em
1029,chứ gì không iu lấy chi làm khổ con gái người ta
1030,tôi muốn sống ở yemen 
1031,kiểu đánh tráo khái niệm này còn độc hại hơn á chủ tus
1032,"sợ nhất câu này nên comeout lúc nào cx phải "" tất nhiên là ctrai hơn rồi mẹ "" : )"
1033,đàn ông mà thích màu tím chắc là bóng
1034,mình đồng ý với quan điểm này
1035,helo mình chuyên bán nhẫn lông voi xịn nhé
1036,chú ơi con lm theo chú về cái kết cay đắng 
1037,yêu 殺
1038,cảm ơn : )
1039,đa số mấy bạn nữ đấy điều chưa 20 : )
1040,nói chung là duyên số cả . bây giờ quan trọng sức khoẻ xây dựng hạnh phúc gia đình
1041,biển quáa đọc bình luận tưởng đang ở thế kỷ lạc hậu nào
1042,lgbt là gì vậy
1043,huhu thầy ơi thương thầy quá 梁
1044,anh này mãi đỉnh ạ
1045,"con trai mà yếu đuối thì làm chỗ dựa , trụ cột cho ai ?"
