index,text,label,platform,processed_text
603,đa miền chê rân bắc,0.0,TikTok,đa miền chê rân bắc
604,naki,1.0,TikTok,naki
605,hk party gio tao quoc tich my,1.0,TikTok,hk party gio tao quoc tich my
606,miền nam del,0.0,TikTok,miền nam del
607,parky điển việt_nam,1.0,TikTok,parky điển việt_nam
608,parki,1.0,TikTok,parki
609,bắc toàn_tài toàn cai_trị đất sài_gòn vậy giàu toàn bắc miền nam toàn thuê ghê,1.0,TikTok,bắc toàn_tài toàn cai_trị đất sài_gòn vậy giàu toàn bắc miền nam toàn thuê ghê
610,kg co bat ky giơ la tiêu ban thư my rôi đi xe_hơi không,1.0,TikTok,kg co bat ky giơ la tiêu ban thư my rôi đi xe_hơi không
611,parky loài cún,1.0,TikTok,parky loài cún
612,toàn nick ảo bọn lưu_vong diễn_biến chia_rẽ anh_em anh_em toàn nick không video người lập ngàn nick anh_em đừng bận_tâm,0.0,TikTok,toàn nick ảo bọn lưu_vong diễn_biến chia_rẽ anh_em anh_em toàn nick không video người lập ngàn nick anh_em đừng bận_tâm
613,sinh bắc tử nam bớt bớt bớt,0.0,TikTok,sinh bắc tử nam bớt bớt bớt
614,không phát_triển,0.0,TikTok,không phát_triển
615,mày bố mày không tôi đách,0.0,TikTok,mày bố mày không tôi đách
617,bọn trẻ thời_kỳ toàn cà_khịa,0.0,TikTok,bọn trẻ thời_kỳ toàn cà_khịa
618,không nam gio máy nhu trien thoi,0.0,TikTok,không nam gio máy nhu trien thoi
619,cá_rô ngán gán dô nam liếm_láp miền nam giải_phóng đéo hả parky,1.0,TikTok,cá_rô ngán gán dô nam liếm_láp miền nam giải_phóng đéo hả parky
620,parkycho,1.0,TikTok,parkycho
621,parykyky,1.0,TikTok,parykyky
622,thời phân_biệt trug nam bắc lz thằg bè toàn nam_trung,2.0,TikTok,thời phân_biệt trug nam bắc lz thằg bè toàn nam_trung
623,parky tụi mày không liên xô trung_quốc gì tụi mày gì,1.0,TikTok,parky tụi mày không liên xô trung_quốc gì tụi mày gì
624,không đi nguyên_nhân lịch_sử,0.0,TikTok,không đi nguyên_nhân lịch_sử
625,tụi mầy,0.0,TikTok,tụi mầy
626,kiêu bắc kì gọi phân_biệt miền trung kiêu trung kì không quý_mến lắm laij hào quê_hương không mấy đứa,0.0,TikTok,kiêu bắc kì gọi phân_biệt miền trung kiêu trung kì không quý_mến lắm laij hào quê_hương không mấy đứa
627,bắc trung nam_bình nóng,2.0,TikTok,bắc trung nam_bình nóng
628,ám bắc khôn_lỏi gia_trưởng keo_kiệt bố_láo thời vậy xấu bắc bắc,0.0,TikTok,ám bắc khôn_lỏi gia_trưởng keo_kiệt bố_láo thời vậy xấu bắc bắc
629,xã_hội thối_nát quan tham thi dân khổ biệt miền,0.0,TikTok,xã_hội thối_nát quan tham thi dân khổ biệt miền
630,bao nhiu đủi mỹ miền nam bây bắt với mỹ phát_triển khôn,0.0,TikTok,bao nhiu đủi mỹ miền nam bây bắt với mỹ phát_triển khôn
631,miền nam,0.0,TikTok,miền nam
632,packy mấy thằng tộc cối,1.0,TikTok,packy mấy thằng tộc cối
633,kệ đi anh_em hoi trách mấy thằng lưu_vong đất tổ sinh vô nam kiếm sống,0.0,TikTok,kệ đi anh_em hoi trách mấy thằng lưu_vong đất tổ sinh vô nam kiếm sống
634,tui miền nam sống hà_nội sinh_sống bình,0.0,TikTok,tui miền nam sống hà_nội sinh_sống bình
635,đứa giáo_dục,0.0,TikTok,đứa giáo_dục
636,xl,0.0,TikTok,xl
637,gọi park ke_văn,1.0,TikTok,gọi park ke_văn
638,tao không,0.0,TikTok,tao không
639,không nhiên nguyên nguyên_nhân đấy,0.0,TikTok,không nhiên nguyên nguyên_nhân đấy
640,nhìu kì_thị xã_hội việt_nam bắc ưu_tiên miền nam miền trung đi khu công_nghiệp tập_đoàn nc toàn dân bắc không ak đường xá toàn phát_triển miền bạn,0.0,TikTok,nhìu kì_thị xã_hội việt_nam bắc ưu_tiên miền nam miền trung đi khu công_nghiệp tập_đoàn nc toàn dân bắc không ak đường xá toàn phát_triển miền bạn
641,nhồi_sọ thằng câu dân việt_nam câu dám chân vô không,0.0,TikTok,nhồi_sọ thằng câu dân việt_nam câu dám chân vô không
642,bake ốc vít,1.0,TikTok,bake ốc vít
643,dạo lướt tik tok cắn miền bắc tao miền trung,0.0,TikTok,dạo lướt tik tok cắn miền bắc tao miền trung
644,quào khối đứa spam,0.0,TikTok,quào khối đứa spam
645,không,0.0,TikTok,không
646,mẹ paky trung_tâm,1.0,TikTok,mẹ paky trung_tâm
647,đào nam lấp bắc,1.0,TikTok,đào nam lấp bắc
649,parky,1.0,TikTok,parky
650,paky cay đi cay được học lịch_sử đàng_hoàng,1.0,TikTok,paky cay đi cay được học lịch_sử đàng_hoàng
651,đấy người miền nam,0.0,TikTok,đấy người miền nam
652,không phân_biệt ký lam mày câu sấc,0.0,TikTok,không phân_biệt ký lam mày câu sấc
653,lãnh_đạo miền nam lựa lách luật phép miền nam vb dh eb xkld kh gt ev thằng thằng,1.0,TikTok,lãnh_đạo miền nam lựa lách luật phép miền nam vb dh eb xkld kh gt ev thằng thằng
654,parky ghét parky pháp đạo chúa đi ghét bắc sống nam,1.0,TikTok,parky ghét parky pháp đạo chúa đi ghét bắc sống nam
655,tôi bạn di,0.0,TikTok,tôi bạn di
656,lách luật vợi kéo công_nhân,0.0,TikTok,lách luật vợi kéo công_nhân
657,bắc miền nam tư biên cày thuê dân cu to tràn_ngập miền nam,1.0,TikTok,bắc miền nam tư biên cày thuê dân cu to tràn_ngập miền nam
658,backỳ nô đay cay lắm,1.0,TikTok,backỳ nô đay cay lắm
659,ta quen miệng nam ưa bắc hơi giọng tí,0.0,TikTok,ta quen miệng nam ưa bắc hơi giọng tí
660,vầy lối sống đông thành_văn_hoá không nhiên phân_biệt,1.0,TikTok,vầy lối sống đông thành_văn_hoá không nhiên phân_biệt
661,sàm quần,0.0,TikTok,sàm quần
662,cán tứ_trụ triều_đình toàn miền bắc,0.0,TikTok,cán tứ_trụ triều_đình toàn miền bắc
663,bac trung nam việt_nam phân_biệt miền nam lắm,0.0,TikTok,bac trung nam việt_nam phân_biệt miền nam lắm
664,mưu_mô xảo_quyệt backy ghê_gớm trái trở,1.0,TikTok,mưu_mô xảo_quyệt backy ghê_gớm trái trở
665,bắc trung nam việt_nam no tào_lao chia rẻ dân_tộc việt_nam mấy coi_chừng tụi chia,2.0,TikTok,bắc trung nam việt_nam no tào_lao chia rẻ dân_tộc việt_nam mấy coi_chừng tụi chia
666,văn_hoá trc giờ kém ta mãi miệt_thị mấy bắc ok lắm học,1.0,TikTok,văn_hoá trc giờ kém ta mãi miệt_thị mấy bắc ok lắm học
667,tui tui ớn,0.0,TikTok,tui tui ớn
668,cali gì đứng pải ht đừng thiên kẽo rướt hoạ thân,0.0,TikTok,cali gì đứng pải ht đừng thiên kẽo rướt hoạ thân
669,đối tao nam bắc tao moe cali,0.0,TikTok,đối tao nam bắc tao moe cali
670,tui mấy parky tiktok câu bình_luận view không phân_biệt vùng miền,0.0,TikTok,tui mấy parky tiktok câu bình_luận view không phân_biệt vùng miền
671,parky bố mày đi,1.0,TikTok,parky bố mày đi
672,fire in the hole,0.0,TikTok,fire in the hole
673,bình_tĩnh miền nam comen tố_cáo ngôn thù_ghét được,0.0,TikTok,bình_tĩnh miền nam comen tố_cáo ngôn thù_ghét được
674,chửi namki bố,1.0,TikTok,chửi namki bố
675,sống việt_nam lịke sống việt bắc thả coment táp nha,0.0,TikTok,sống việt_nam lịke sống việt bắc thả coment táp nha
676,trẻ trâu sv parky,0.0,TikTok,trẻ trâu sv parky
677,bắc kỳ dạy,1.0,TikTok,bắc kỳ dạy
678,tôi nam thay_mặt xinloi anh_em bắc phân_biệt miền tôi đeo bao,0.0,TikTok,tôi nam thay_mặt xinloi anh_em bắc phân_biệt miền tôi đeo bao
679,mấy bọn cali,1.0,TikTok,mấy bọn cali
680,mấy thằng bình_luận parky cay lắm đéo không sủa vui,0.0,TikTok,mấy thằng bình_luận parky cay lắm đéo không sủa vui
681,parky toàn mấy thiên_tài bụng giàu tui miền nam tui yêu mấy miền bắc,0.0,TikTok,parky toàn mấy thiên_tài bụng giàu tui miền nam tui yêu mấy miền bắc
682,lịch_sử mày kĩ chỗ,0.0,TikTok,lịch_sử mày kĩ chỗ
683,tôi kêu parky,0.0,TikTok,tôi kêu parky
684,parky cá_rô_phi,1.0,TikTok,parky cá_rô_phi
685,chủ thớt nè đi thành_tâm đi ưa paky câu kiểu dân ho,1.0,TikTok,chủ thớt nè đi thành_tâm đi ưa paky câu kiểu dân ho
686,parky miền nam khổ chết mẹ,1.0,TikTok,parky miền nam khổ chết mẹ
687,đa bình_luận toàn parky bắc học hẳn_hoi nhiên đi bình_luận phân_biệt vùng miền lmj bình_luận video parky miền bắc_bình luận,0.0,TikTok,đa bình_luận toàn parky bắc học hẳn_hoi nhiên đi bình_luận phân_biệt vùng miền lmj bình_luận video parky miền bắc_bình luận
688,ngộ_nghĩnh,0.0,TikTok,ngộ_nghĩnh
689,kỳ_thị loài vong ơn bội_nghĩa chẳng thua ta toàn kẻ chết nhát hùng video live,0.0,TikTok,kỳ_thị loài vong ơn bội_nghĩa chẳng thua ta toàn kẻ chết nhát hùng video live
690,parky không ma keu namky thi không,0.0,TikTok,parky không ma keu namky thi không
691,việt_nam chia_rẽ chống_phá chế_độ xhcn giới monkey hậu,0.0,TikTok,việt_nam chia_rẽ chống_phá chế_độ xhcn giới monkey hậu
692,bắc giải_phóng miền nam mấy đội kia bọn giới trẻ bây parky namki,0.0,TikTok,bắc giải_phóng miền nam mấy đội kia bọn giới trẻ bây parky namki
693,nameki khởi_nghĩa gặm bình oxy nhai dải phân rẻ rách lương_tâm rủ trộm_cắp ướp la_làng nhậu ổi xoài cóc hóc cá dọn bể,1.0,TikTok,nameki khởi_nghĩa gặm bình oxy nhai dải phân rẻ rách lương_tâm rủ trộm_cắp ướp la_làng nhậu ổi xoài cóc hóc cá dọn bể
694,miền nam parky điện_thoại cục gạch cơm chó,1.0,TikTok,miền nam parky điện_thoại cục gạch cơm chó
695,map việt_nam thời_kì đi chửi tổ_tiên,0.0,TikTok,map việt_nam thời_kì đi chửi tổ_tiên
696,nha khí lạnh gì,0.0,TikTok,nha khí lạnh gì
697,bá dơ dô nam mún an tán parky tụi đáp_ứng,1.0,TikTok,bá dơ dô nam mún an tán parky tụi đáp_ứng
698,dốt không lính miền nam kháng_chiến miền bắc kháng_chiến miền nam quân kháng_chiến hùng_lực,0.0,TikTok,dốt không lính miền nam kháng_chiến miền bắc kháng_chiến miền nam quân kháng_chiến hùng_lực
699,miền nam miền trung parky dãy đành đạnh clip kiểu miền bắc clip kiểu đứng trung_lập,1.0,TikTok,miền nam miền trung parky dãy đành đạnh clip kiểu miền bắc clip kiểu đứng trung_lập
700,parky,1.0,TikTok,parky
701,parky cay,1.0,TikTok,parky cay
702,parky parky,1.0,TikTok,parky parky
703,mk người bắc biết người vậy rồi,0.0,TikTok,mk người bắc biết người vậy rồi
704,không parky miền nam hàn_quốc parky kỳ ích_kỷ sống không được,1.0,TikTok,không parky miền nam hàn_quốc parky kỳ ích_kỷ sống không được
705,người bắc được người bắc không,0.0,TikTok,người bắc được người bắc không
706,dô quét,0.0,TikTok,dô quét
707,tcn tôi đi,0.0,TikTok,tcn tôi đi
708,kiến không bắc không viêt nam bây bọn chửi chửi toàn cháu nguỵ bọn cali cầu vinh,1.0,TikTok,kiến không bắc không viêt nam bây bọn chửi chửi toàn cháu nguỵ bọn cali cầu vinh
709,việt phân_biệt lẫn nhồi trung_quốc hại nhật ghét mik hàn phân_biệt mik,0.0,TikTok,việt phân_biệt lẫn nhồi trung_quốc hại nhật ghét mik hàn phân_biệt mik
710,parky xau,1.0,TikTok,parky xau
711,adu cali cay kìa,1.0,TikTok,adu cali cay kìa
712,tổ_tiên nam bắc di nam thay_đổi được lịch_sử,0.0,TikTok,tổ_tiên nam bắc di nam thay_đổi được lịch_sử
713,không bk miền nam bố học địa_lý dùm nhe không,0.0,TikTok,không bk miền nam bố học địa_lý dùm nhe không
714,tôi không mắc_công phạt,0.0,TikTok,tôi không mắc_công phạt
715,mấy phân_biệt vùng miền,0.0,TikTok,mấy phân_biệt vùng miền
716,parky ta tập_thể việt_nam,2.0,TikTok,parky ta tập_thể việt_nam
717,parky vô nam nam ptrien xạo lòn,1.0,TikTok,parky vô nam nam ptrien xạo lòn
718,chữ,0.0,TikTok,chữ
719,parky cá rôcây,1.0,TikTok,parky cá rôcây
720,danh may thằng parky,1.0,TikTok,danh may thằng parky
721,phân_biệt miền máu đỏ da vàng buồn,2.0,TikTok,phân_biệt miền máu đỏ da vàng buồn
722,đất xíu dân chục triệu lẻ trung_quốc ấn_độ chia_rẽ_phận biệt đòi bảo_vệ đất,2.0,TikTok,đất xíu dân chục triệu lẻ trung_quốc ấn_độ chia_rẽ_phận biệt đòi bảo_vệ đất
723,rồi không khóc,1.0,TikTok,rồi không khóc
724,parkycho,1.0,TikTok,parkycho
725,ah đấu_đá ròi lỡ chiến_tranh đoàn_kết không,0.0,TikTok,ah đấu_đá ròi lỡ chiến_tranh đoàn_kết không
726,lạnh bắc_cực parky,1.0,TikTok,lạnh bắc_cực parky
727,miền nam parky,1.0,TikTok,miền nam parky
728,phân_biệt miền phân_biệt quấc gia lũ cali,1.0,TikTok,phân_biệt miền phân_biệt quấc gia lũ cali
729,rộ bắc hoa khơ me người chăm người miền nam ghét bắc,1.0,TikTok,rộ bắc hoa khơ me người chăm người miền nam ghét bắc
730,đọc bình_luận buồn thay hệ học được giá_trị học khg dệ,0.0,TikTok,đọc bình_luận buồn thay hệ học được giá_trị học khg dệ
731,ta phân_định ràng bắc parky thằng già parky,1.0,TikTok,ta phân_định ràng bắc parky thằng già parky
732,lai moi chửi bọn miền nam,1.0,TikTok,lai moi chửi bọn miền nam
733,máu cụ tao nhuộm đỏ đất miên nam đấy,0.0,TikTok,máu cụ tao nhuộm đỏ đất miên nam đấy
734,ap,0.0,TikTok,ap
735,khóc thuê parky,1.0,TikTok,khóc thuê parky
736,thời phân_tranh trịnh nguyễn_miền nam cờ cõi nam miền bắc đôi dất quốc kìa,0.0,TikTok,thời phân_tranh trịnh nguyễn_miền nam cờ cõi nam miền bắc đôi dất quốc kìa
737,giải ngu nam kỳ trung kỳ danh bắc kỳ chủ,0.0,TikTok,giải ngu nam kỳ trung kỳ danh bắc kỳ chủ
738,thằng gọi parky đi bầu_trời,1.0,TikTok,thằng gọi parky đi bầu_trời
739,bớt trẩu tre đi máy đứa kiu parky nội_chiến quan_trọng ngoại chiên,1.0,TikTok,bớt trẩu tre đi máy đứa kiu parky nội_chiến quan_trọng ngoại chiên
740,parky pịa dê,1.0,TikTok,parky pịa dê
741,cay lắm rồi,0.0,TikTok,cay lắm rồi
742,lí top thèm tim bẩn,0.0,TikTok,lí top thèm tim bẩn
743,parky lạnh,1.0,TikTok,parky lạnh
744,không hồ bọn phân_biệt vm bọn bâyb,0.0,TikTok,không hồ bọn phân_biệt vm bọn bâyb
745,lẽ ôg kia không người miền bắc không người miền nam,0.0,TikTok,lẽ ôg kia không người miền bắc không người miền nam
746,cali rồi dám suar,1.0,TikTok,cali rồi dám suar
747,tôi nam tôi tụi nam hơi lố sánh gì sánh gì mấy bọn phản_động,0.0,TikTok,tôi nam tôi tụi nam hơi lố sánh gì sánh gì mấy bọn phản_động
748,mấy đứa không học,0.0,TikTok,mấy đứa không học
749,cay,0.0,TikTok,cay
750,miền nam,0.0,TikTok,miền nam
751,bắc_nam gì củng kì lêu lêu cải,0.0,TikTok,bắc_nam gì củng kì lêu lêu cải
752,đất yêu_thương sống,2.0,TikTok,đất yêu_thương sống
753,niềm xấu miền bắc xấu miền xấu phân_biệt miền kiếm like tim,0.0,TikTok,niềm xấu miền bắc xấu miền xấu phân_biệt miền kiếm like tim
754,tiền_nhân đx hy_sinh bờ_cõi hồ đng cứu nc miền được ấm_no buồn hệ bây_giờ ik miện thị,0.0,TikTok,tiền_nhân đx hy_sinh bờ_cõi hồ đng cứu nc miền được ấm_no buồn hệ bây_giờ ik miện thị
755,nhào đừng phân_biệt cháu hồ,2.0,TikTok,nhào đừng phân_biệt cháu hồ
756,cali khóc,1.0,TikTok,cali khóc
757,mấy miềng được sống đừng chia_rẽ đoàn_kết đất nam bắc đìu việt_nam đừng em ta định_hướng sai_trái nam bắc,2.0,TikTok,mấy miềng được sống đừng chia_rẽ đoàn_kết đất nam bắc đìu việt_nam đừng em ta định_hướng sai_trái nam bắc
758,tôi miền nam lướt bình_luận ngao_ngán,0.0,TikTok,tôi miền nam lướt bình_luận ngao_ngán
759,phân_biệt vùng miền kệ sống không lo_lo mấy tào_lao,0.0,TikTok,phân_biệt vùng miền kệ sống không lo_lo mấy tào_lao
760,haiz đất đỉnh tục tiểu,0.0,TikTok,haiz đất đỉnh tục tiểu
761,không parky gian sảo được,1.0,TikTok,không parky gian sảo được
762,nè đừng phân_biệt vùng miền parky,1.0,TikTok,nè đừng phân_biệt vùng miền parky
763,mầy vô nam mầy liền,0.0,TikTok,mầy vô nam mầy liền
764,thằng anh_em kệ bọn đi im,0.0,TikTok,thằng anh_em kệ bọn đi im
765,gớm không giải_phóng miền nam giờ ôm nợ nghìn tỉ mẽo rồi,0.0,TikTok,gớm không giải_phóng miền nam giờ ôm nợ nghìn tỉ mẽo rồi
766,tame không phân biết miền miền nam đừng phân biết nx,0.0,TikTok,tame không phân biết miền miền nam đừng phân biết nx
767,kệ mày tao namky đứa phân_biệt vùng miền chửi tao thằng namky vui,0.0,TikTok,kệ mày tao namky đứa phân_biệt vùng miền chửi tao thằng namky vui
768,parky miền nam việt_nam việt bắc,1.0,TikTok,parky miền nam việt_nam việt bắc
769,không parky tụi bây miền nam tụi tao cht àk,1.0,TikTok,không parky tụi bây miền nam tụi tao cht àk
770,không ghét miền bắc câu vậy tr,0.0,TikTok,không ghét miền bắc câu vậy tr
771,tôi namky,0.0,TikTok,tôi namky
772,trung_quốc mấy thằng parky xích,0.0,TikTok,trung_quốc mấy thằng parky xích
773,parky cay rồi,1.0,TikTok,parky cay rồi
774,mấy thằng phân_biệt vùng miền học xấu_hổ dùm dân_sinh,0.0,TikTok,mấy thằng phân_biệt vùng miền học xấu_hổ dùm dân_sinh
775,thách đọc được cuthis,0.0,TikTok,thách đọc được cuthis
776,parky cay,1.0,TikTok,parky cay
777,nè tao tụi bây nè hồi đi không chiến_tranh xảy hồ bát hồ dạy yêu tổ_quốc yêu đồng_bào giờ,2.0,TikTok,nè tao tụi bây nè hồi đi không chiến_tranh xảy hồ bát hồ dạy yêu tổ_quốc yêu đồng_bào giờ
778,parky,1.0,TikTok,parky
779,hôm bữa tôi hanoi chở xích_lô thờ lăng bao_nhiêu kêu không tôi đi ngắm tp kêu không cãi_lộn với lun tức vl,0.0,TikTok,hôm bữa tôi hanoi chở xích_lô thờ lăng bao_nhiêu kêu không tôi đi ngắm tp kêu không cãi_lộn với lun tức vl
780,parky cay,1.0,TikTok,parky cay
781,đoàn_kết biết_bao_nhiêu hùng xương_máu,2.0,TikTok,đoàn_kết biết_bao_nhiêu hùng xương_máu
782,đừng bọn phản_động dắt_mũi,0.0,TikTok,đừng bọn phản_động dắt_mũi
783,parky,1.0,TikTok,parky
784,tây nội_địa,1.0,TikTok,tây nội_địa
785,không_trung quốc parky,1.0,TikTok,không_trung quốc parky
786,ghét bọn southern,1.0,TikTok,ghét bọn southern
787,méo phân_biệt miền bọn nam tụi mày đi học đồng_bào phân_biệt kì_thị được tiếc hệ,0.0,TikTok,méo phân_biệt miền bọn nam tụi mày đi học đồng_bào phân_biệt kì_thị được tiếc hệ
788,điển cambridge lạnh,0.0,TikTok,điển cambridge lạnh
789,bắc nô_lệ china tín parky toàn rơi china,1.0,TikTok,bắc nô_lệ china tín parky toàn rơi china
790,parky thượng lắm nhật hàn bình_dương đồng_nai sài_gòn vô_danh sách_đen doanh_nghiệp cty người ta sợ,1.0,TikTok,parky thượng lắm nhật hàn bình_dương đồng_nai sài_gòn vô_danh sách_đen doanh_nghiệp cty người ta sợ
791,parky đi xe_đạp giải_phóng namky đi ô_tô,1.0,TikTok,parky đi xe_đạp giải_phóng namky đi ô_tô
792,parky tôi mạng xã_hội hãm vc bome sinh đel biết_ơn mạng chửi chửi kia mẹ del biết nhục,0.0,TikTok,parky tôi mạng xã_hội hãm vc bome sinh đel biết_ơn mạng chửi chửi kia mẹ del biết nhục
793,,0.0,TikTok,
794,ho mày nhai đi nhai chó gặm xương,0.0,TikTok,ho mày nhai đi nhai chó gặm xương
795,parky vẻ,1.0,TikTok,parky vẻ
796,bắc trung nam,2.0,TikTok,bắc trung nam
797,bắc trung nam,2.0,TikTok,bắc trung nam
798,nam bắc,2.0,TikTok,nam bắc
799,parky cay,1.0,TikTok,parky cay
800,siêu phẩm nghệ_thuật,0.0,TikTok,siêu phẩm nghệ_thuật
801,impresive seriously,0.0,TikTok,impresive seriously
802,tụi,0.0,TikTok,tụi
803,người miền nam toi hỗ thẹn thay,0.0,TikTok,người miền nam toi hỗ thẹn thay
804,miền chiến_tranh nha không không bắc không nam,0.0,TikTok,miền chiến_tranh nha không không bắc không nam
805,bắc_nam bắc bố nam,0.0,TikTok,bắc_nam bắc bố nam
806,nghèo bảo cháu cháu kia giàu kêu mày tao,0.0,TikTok,nghèo bảo cháu cháu kia giàu kêu mày tao
807,party,0.0,TikTok,party
808,giải_phóng miền nam miền bắc việt_nam miền trung việt_nam miền nam việt_nam té mưa không được phân_biệt ảnh_hưởng xấu tn,0.0,TikTok,giải_phóng miền nam miền bắc việt_nam miền trung việt_nam miền nam việt_nam té mưa không được phân_biệt ảnh_hưởng xấu tn
809,trung_quốc phân_biệt người việt_nam yêu_thương nc đẻ người vầy trung_quốc,0.0,TikTok,trung_quốc phân_biệt người việt_nam yêu_thương nc đẻ người vầy trung_quốc
810,hn ô_nhiễm giới kìa đợt tẩy parky rùi,1.0,TikTok,hn ô_nhiễm giới kìa đợt tẩy parky rùi
811,cali akay thiệm akay,1.0,TikTok,cali akay thiệm akay
812,ui za không quan_tâm sống gia_đình ấm_no hp hả,0.0,TikTok,ui za không quan_tâm sống gia_đình ấm_no hp hả
813,toàn bọn hùa thằng,0.0,TikTok,toàn bọn hùa thằng
814,không miền bắc giờ miền nam bọn cambodia,1.0,TikTok,không miền bắc giờ miền nam bọn cambodia
815,đâm cổng,0.0,TikTok,đâm cổng
816,được mấy thằng đường việt_nam hô to parky không ns được dám gáy,0.0,TikTok,được mấy thằng đường việt_nam hô to parky không ns được dám gáy
817,cty miền nam đợt không dám tuyển nhân_viên_hoá với nghệ_an,1.0,TikTok,cty miền nam đợt không dám tuyển nhân_viên_hoá với nghệ_an
818,đa bọn chửi parky níc tiktok ảo lòi,0.0,TikTok,đa bọn chửi parky níc tiktok ảo lòi
819,nameki khởi_nghĩa gặm bình oxy nhai dải phân rẻ rách lương_tâm rủ trộm_cắp ướp la_làng nhậu ổi xoài cóc hóc cá dọn bạn,1.0,TikTok,nameki khởi_nghĩa gặm bình oxy nhai dải phân rẻ rách lương_tâm rủ trộm_cắp ướp la_làng nhậu ổi xoài cóc hóc cá dọn bạn
820,realy realy god wow,0.0,TikTok,realy realy god wow
821,đám parky phân_biệt người ta đối_xử thằng tiến dạng,1.0,TikTok,đám parky phân_biệt người ta đối_xử thằng tiến dạng
822,trời đầu mày việt bắc trời đầu mày việt_nam,0.0,TikTok,trời đầu mày việt bắc trời đầu mày việt_nam
823,hồ miền trung nhìu bình_luận bảo hồ miền bắc ak,0.0,TikTok,hồ miền trung nhìu bình_luận bảo hồ miền bắc ak
824,parky,1.0,TikTok,parky
825,thoải_mái đi,0.0,TikTok,thoải_mái đi
826,giải_phóng việt_nam coa tàu_ngầm cạn đấy,0.0,TikTok,giải_phóng việt_nam coa tàu_ngầm cạn đấy
827,parky cá_rô_phi,1.0,TikTok,parky cá_rô_phi
828,bọn kid vậy tôi miền trung cx không vậy bình_đẳng,0.0,TikTok,bọn kid vậy tôi miền trung cx không vậy bình_đẳng
829,parky namki nambắc,2.0,TikTok,parky namki nambắc
830,đừng miệt_thị được không,2.0,TikTok,đừng miệt_thị được không
831,không việt_nam miền,0.0,TikTok,không việt_nam miền
832,hấp quyến_rũ,0.0,TikTok,hấp quyến_rũ
833,miền nam chống đứa phân_biệt đọc coment không kìm được nc mắt biến,0.0,TikTok,miền nam chống đứa phân_biệt đọc coment không kìm được nc mắt biến
834,không việt_nam đéo gì nam bắc dung_hoà,0.0,TikTok,không việt_nam đéo gì nam bắc dung_hoà
835,impresive seriously,0.0,TikTok,impresive seriously
836,kg co parky co lừa_đảo,1.0,TikTok,kg co parky co lừa_đảo
837,naiky,1.0,TikTok,naiky
838,parky cháo đá bát lắm,1.0,TikTok,parky cháo đá bát lắm
839,parky,1.0,TikTok,parky
840,không miệt_thị xấu không miệt_thị,0.0,TikTok,không miệt_thị xấu không miệt_thị
841,paky dỗi lắm,1.0,TikTok,paky dỗi lắm
842,mạng parky đời đánh la gọi mẹ,0.0,TikTok,mạng parky đời đánh la gọi mẹ
843,tuỳ tui mấy miền bắc đẹp lắm,2.0,TikTok,tuỳ tui mấy miền bắc đẹp lắm
844,chống_phá bám lười ích_kỷ không khù_khờ yếu sinh_lý,1.0,TikTok,chống_phá bám lười ích_kỷ không khù_khờ yếu sinh_lý
845,bắt gom,0.0,TikTok,bắt gom
846,miền trung gọi trung kỳ hả miền nam,0.0,TikTok,miền trung gọi trung kỳ hả miền nam
847,mấy đứa vô_học chấp lamj,0.0,TikTok,mấy đứa vô_học chấp lamj
848,anh_em việt_nam ta không phân_biệt miền tụi cali khát hẹo kiểu parky parky namkiki,1.0,TikTok,anh_em việt_nam ta không phân_biệt miền tụi cali khát hẹo kiểu parky parky namkiki
849,anh_em ta mai dinh,2.0,TikTok,anh_em ta mai dinh
850,tao narkyf tụi bây tha_hồ phân_biệt,0.0,TikTok,tao narkyf tụi bây tha_hồ phân_biệt
851,bọn cali chửi_bới tổ_tiên thằng ad tiotk,1.0,TikTok,bọn cali chửi_bới tổ_tiên thằng ad tiotk
852,toàn bọn trẻ trâu phân_biệt vùng miền,0.0,TikTok,toàn bọn trẻ trâu phân_biệt vùng miền
853,parky namkiki miền trung tụi mày pháp mỹ nhật biến đi việt_nam chứa,1.0,TikTok,parky namkiki miền trung tụi mày pháp mỹ nhật biến đi việt_nam chứa
855,parkour,1.0,TikTok,parkour
856,hồ đường cứu việt_nam ngóc đầu đươc châu_phi bây,0.0,TikTok,hồ đường cứu việt_nam ngóc đầu đươc châu_phi bây
857,tiến_hoá ngược,0.0,TikTok,tiến_hoá ngược
858,bọn tham lười ảo_tưởng bất_lực không được chê_trách,0.0,TikTok,bọn tham lười ảo_tưởng bất_lực không được chê_trách
859,cali phân_bón,0.0,TikTok,cali phân_bón
860,parky,1.0,TikTok,parky
861,miền nam parkey,1.0,TikTok,miền nam parkey
862,parky,1.0,TikTok,parky
863,,0.0,TikTok,
864,parky cay,1.0,TikTok,parky cay
865,chó dạy parky không đồng_bào không với parky,0.0,TikTok,chó dạy parky không đồng_bào không với parky
866,đừng pb được không hu_hu hu,0.0,TikTok,đừng pb được không hu_hu hu
867,mấy tk bình_luận không đôi_co chửi nhây,0.0,TikTok,mấy tk bình_luận không đôi_co chửi nhây
868,không bắc_nam câu dầu_lửa chia sâu_sắc,0.0,TikTok,không bắc_nam câu dầu_lửa chia sâu_sắc
869,chả parky đặc_biệt thủ_đô_động chó dại,1.0,TikTok,chả parky đặc_biệt thủ_đô_động chó dại
870,đừng phân_biệt vùng miền anh_em miền party,2.0,TikTok,đừng phân_biệt vùng miền anh_em miền party
